[1/113] tokyo (東京都)...
  → [35.6769, 139.7639]
[2/113] chiyoda (千代田区)...
  → [35.6938, 139.7532]
[3/113] chuo (中央区)...
  → [35.6706, 139.7720]
[4/113] minato (港区)...
  → [35.6580, 139.7515]
[5/113] shinjuku (新宿区)...
  → [35.6938, 139.7036]
[6/113] bunkyo (文京区)...
  → [35.7080, 139.7523]
[7/113] taito (台東区)...
  → [35.7126, 139.7801]
[8/113] sumida (墨田区)...
  → [35.7104, 139.8017]
[9/113] koto (江東区)...
  → [35.6728, 139.8170]
[10/113] shinagawa (品川区)...
  → [35.6092, 139.7302]
[11/113] meguro (目黒区)...
  → [35.6408, 139.6985]
[12/113] ota (大田区)...
  → [35.5612, 139.7158]
[13/113] setagaya (世田谷区)...
  → [35.6469, 139.6525]
[14/113] shibuya (渋谷区)...
  → [35.6634, 139.6965]
[15/113] nakano (中野区)...
  → [35.7086, 139.6629]
[16/113] suginami (杉並区)...
  → [35.6995, 139.6363]
[17/113] toshima (豊島区)...
  → [35.7259, 139.7166]
[18/113] kita (北区)...
  → [35.7529, 139.7338]
[19/113] arakawa (荒川区)...
  → [35.7375, 139.7813]
[20/113] itabashi (板橋区)...
  → [35.7513, 139.7088]
[21/113] nerima (練馬区)...
  → [35.7506, 139.6163]
[22/113] adachi (足立区)...
  → [35.7746, 139.8045]
[23/113] katsushika (葛飾区)...
  → [35.7434, 139.8473]
[24/113] edogawa (江戸川区)...
  → [35.7066, 139.8687]
[25/113] akihabara (秋葉原)...
  → [35.6985, 139.7755]
[26/113] kanda (神田)...
  → [35.6937, 139.7709]
[27/113] marunouchi (丸の内)...
  → [35.6791, 139.7653]
[28/113] yurakucho (有楽町)...
  → [35.6737, 139.7612]
[29/113] ginza (銀座)...
  → [35.6720, 139.7647]
[30/113] nihonbashi (日本橋)...
  → [35.6813, 139.7731]
[31/113] tsukishima (月島)...
  → [35.6632, 139.7823]
[32/113] roppongi (六本木)...
  → [35.6625, 139.7335]
[33/113] azabu (麻布)...
  → [35.6563, 139.7272]
[34/113] akasaka (赤坂)...
  → [35.6717, 139.7356]
[35/113] toranomon (虎ノ門)...
  → [35.6670, 139.7460]
[36/113] shirogane (白金)...
  → [35.6439, 139.7277]
[37/113] takanawa (高輪)...
  → [35.6350, 139.7357]
[38/113] harajuku (原宿)...
  → [35.6687, 139.7053]
[39/113] daikanyama (代官山)...
  → [35.6482, 139.7033]
[40/113] ebisu (恵比寿)...
  → [35.6464, 139.7102]
[41/113] aoyama (青山)...
  → [35.6608, 139.7077]
[42/113] omotesando (表参道)...
  → [35.6677, 139.7072]
[43/113] shoto (松濤)...
  → [35.6608, 139.6920]
[44/113] tomigaya (富ヶ谷)...
  → [35.6658, 139.6876]
[45/113] sangenjaya (三軒茶屋)...
  → [35.6421, 139.6688]
[46/113] shimokitazawa (下北沢)...
  → [35.6617, 139.6663]
[47/113] yoga (用賀)...
  → [35.6272, 139.6358]
[48/113] futako (二子玉川)...
  → [35.6118, 139.6268]
[49/113] jiyugaoka (自由が丘)...
  → [35.6135, 139.6616]
[50/113] setagaya (世田谷)...
  → [35.6442, 139.6483]
[51/113] nakameguro (中目黒)...
  → [35.6442, 139.6987]
[52/113] yutenji (祐天寺)...
  → [35.6376, 139.6910]
[53/113] gakugeidaigaku (学芸大学)...
  → [35.6289, 139.6853]
[54/113] naka-meguro (目黒)...
  → [35.6339, 139.7073]
[55/113] kabukicho (歌舞伎町)...
  → [35.6945, 139.7027]
[56/113] takadanobaba (高田馬場)...
  → [35.7127, 139.7040]
[57/113] ochiai (落合)...
  → [35.7109, 139.6850]
[58/113] yotsuya (四谷)...
  → [35.6861, 139.7287]
[59/113] ushigome (牛込)...
  → [35.6995, 139.7256]
[60/113] hongo (本郷)...
  → [35.7077, 139.7602]
[61/113] koishikawa (小石川)...
  → [35.7131, 139.7461]
[62/113] yanaka (谷中)...
  → [35.7211, 139.7710]
[63/113] hakusan (白山)...
  → [35.7215, 139.7521]
[64/113] nezu (根津)...
  → [35.7174, 139.7657]
[65/113] ueno (上野)...
  → [35.7119, 139.7776]
[66/113] asakusa (浅草)...
  → [35.7176, 139.7976]
[67/113] kuramae (蔵前)...
  → [35.7032, 139.7909]
[68/113] shitaya (下谷)...
  → [35.7237, 139.7851]
[69/113] kinshicho (錦糸町)...
  → [35.6963, 139.8150]
[70/113] oshiage (押上)...
  → [35.7125, 139.8148]
[71/113] ryogoku (両国)...
  → [35.6958, 139.7930]
[72/113] mukojima (向島)...
  → [35.7160, 139.8094]
[73/113] kiyosumi (清澄)...
  → [35.6827, 139.7960]
[74/113] shinonome (潮見)...
  → [35.6589, 139.8172]
[75/113] tatsumi (辰巳)...
  → [35.6485, 139.8119]
[76/113] monzen-nakacho (門前仲町)...
  → [35.6726, 139.7950]
[77/113] fukagawa (深川)...
  → [35.6768, 139.7973]
[78/113] osaki (大崎)...
  → [35.6194, 139.7285]
[79/113] gotanda (五反田)...
  → [35.6250, 139.7240]
[80/113] togoshi (戸越)...
  → [35.6145, 139.7164]
[81/113] nishikoi (西小山)...
  → [35.6155, 139.6988]
[82/113] kamata (蒲田)...
  → [35.5637, 139.7217]
[83/113] oimachi (大井町)...
  → [35.5587, 139.7154]
[84/113] haneda (羽田)...
  → [35.5479, 139.7466]
[85/113] denenchofu (田園調布)...
  → [35.5934, 139.6656]
[86/113] nakano (中野)...
  → [35.7058, 139.6656]
[87/113] shin-nakano (新中野)...
  → [35.6975, 139.6686]
[88/113] higashi-nakano (東中野)...
  → [35.7073, 139.6833]
[89/113] koenji (高円寺)...
  → [35.7049, 139.6499]
[90/113] asagaya (阿佐ヶ谷)...
  → [35.7048, 139.6355]
[91/113] ogikubo (荻窪)...
  → [35.7042, 139.6200]
[92/113] nishi-ogikubo (西荻窪)...
  → [35.7037, 139.5996]
[93/113] eifukucho (永福町)...
  → [35.6764, 139.6427]
[94/113] ikebukuro (池袋)...
  → [35.7298, 139.7102]
[95/113] sugamo (巣鴨)...
  → [35.7365, 139.7345]
[96/113] zoshigaya (雑司が谷)...
  → [35.7196, 139.7178]
[97/113] mejiro (目白)...
  → [35.7243, 139.7029]
[98/113] akabane (赤羽)...
  → [35.7781, 139.7208]
[99/113] oji (王子)...
  → [35.7540, 139.7376]
[100/113] jujo (十条)...
  → [35.7600, 139.7223]
[101/113] nippori (日暮里)...
  → [35.7289, 139.7714]
[102/113] minowa (三ノ輪)...
  → [35.7321, 139.7916]
[103/113] itabashi (板橋)...
  → [35.7505, 139.7153]
[104/113] tokiwadai (常盤台)...
  → [35.7615, 139.6856]
[105/113] nerima (練馬)...
  → [35.7373, 139.6545]
[106/113] hikarigaoka (光が丘)...
  → [35.7586, 139.6294]
[107/113] shakujii (石神井)...
  → [35.7438, 139.6062]
[108/113] kita-senju (北千住)...
  → [35.7497, 139.8049]
[109/113] ayase (綾瀬)...
  → [35.7621, 139.8249]
[110/113] kameari (亀有)...
  → [35.7667, 139.8478]
[111/113] shibamata (柴又)...
  → [35.7564, 139.8771]
[112/113] kasai (葛西)...
  → [35.6636, 139.8727]
[113/113] koiwa (小岩)...
  → [35.7332, 139.8819]
